"GeneID"	"X3409"	"X3609"	"X3610"	"X3703"	"X3811"	"X3910"	"X3912"	"X4007"	"X4110"	"X4111"	"X4208"	"X4210"	"X4213"	"X4303"	"X4406"	"X4410"	"X4506"	"X4611"	"X4907"	"X5209"	"X5210"	"X5307"	"X5404"	"X5405"	"X5407"	"X5409"	"X5604"	"X5815"	"X6106"	"X6206"	"X6207"	"line_pvalue"	"line_qvalue"	"log2fc"
"ENSSSCG00000014875"	181	407	515	704	284	144	300	751	406	878	510	936	452	523	729	1084	4082	1354	684	1427	841	377	664	717	954	1287	2317	901	1232	1212	866	0.000811252617685776	0.0254098284043588	-1.05648216314165
"ENSSSCG00000015083"	42	31	20	71	13	28	20	209	12	10	106	241	136	51	105	22	525	125	77	184	150	19	62	118	118	213	435	17	84	95	63	0.00316116451809867	0.0445064235518869	-1.46119780842906
"ENSSSCG00000015324"	463	972	543	1561	648	382	967	1660	613	1174	1181	978	962	1163	1137	1675	9655	2017	945	3222	1203	1027	1283	1322	1010	2425	2425	1344	1460	1374	999	0.000294379419515378	0.0165426081885756	-1.09828442555696
"ENSSSCG00000015766"	2	29	24	6	15	2	21	3	10	11	15	21	12	4	11	40	13	4	12	3	2	13	8	1	4	5	8	7	1	4	2	2.60658813866499e-07	0.000362335800694058	1.67807190511264
"ENSSSCG00000016216"	91	322	189	287	286	113	222	506	158	380	307	309	370	299	307	494	2376	429	249	893	252	263	732	508	601	773	667	360	319	774	452	0.000223960590526096	0.0154199893071683	-1.10618333380123
"ENSSSCG00000016851"	6	13	69	10	41	3	12	6	11	24	17	16	11	8	72	19	34	13	74	13	8	13	11	14	10	14	18	60	14	21	6	0.0020223280245758	0.0361940650610328	1.17521048460638
"ENSSSCG00000016992"	0	19	20	6	5	8	11	3	20	42	14	19	27	3	15	31	12	7	15	4	2	5	5	1	5	1	13	6	3	3	3	5.44957860415529e-06	0.00244990614601511	1.73762874979309
"ENSSSCG00000017035"	2	31	24	5	35	9	25	2	6	16	18	14	17	6	9	23	25	7	9	7	3	10	6	6	5	9	8	4	4	9	1	2.89452753514663e-05	0.00582142807562056	1.22409471656745
"ENSSSCG00000017727"	4	109	189	6	103	6	154	3	130	181	146	72	66	6	93	154	343	1	200	3	5	8	6	3	7	3	171	39	9	7	7	0.00216379240023801	0.0374996842447946	1.56559717585423
"ENSSSCG00000017986"	16	3	2	5	10	1	2	9	4	6	9	4	2	4	2	16	34	21	7	13	4	5	15	12	23	26	7	0	6	28	13	7.22896491205383e-05	0.00891086521618893	-1.42473890047114
"ENSSSCG00000020872"	343	598	437	1925	335	368	373	852	352	589	689	2061	2210	851	672	911	6111	4409	458	3071	2006	1967	1736	1695	1371	964	3645	799	1709	2860	1835	1.71828641174487e-05	0.00452827720750352	-1.37062831290721
"ENSSSCG00000020945"	36	74	5	88	50	3	60	46	4	32	46	59	29	162	2	5	120	122	43	137	93	47	112	111	109	116	274	52	77	172	91	0.000228747699513754	0.0154970164290059	-1.74602251904475
"ENSSSCG00000023108"	27	164	207	111	130	90	162	25	89	142	156	77	97	7	100	249	365	4	93	6	2	110	6	5	23	40	11	45	43	41	4	3.86298301088273e-05	0.00628145694907899	1.48093943617793
"ENSSSCG00000023256"	24	99	93	6	2	31	66	4	33	92	9	15	22	9	35	9	19	28	9	1	7	46	10	2	5	8	45	19	22	4	3	7.77711256476632e-05	0.00943437821844867	1.57514564236095
"ENSSSCG00000023537"	13	20	18	30	14	7	28	16	2	15	8	2	2	41	18	25	102	8	7	16	10	3	8	10	17	15	52	11	16	73	14	0.000855477629683854	0.0261519511394354	-1.13561063691698
"ENSSSCG00000023585"	67	214	76	99	106	48	90	107	38	89	82	386	302	247	198	289	663	512	164	294	231	159	311	439	765	267	483	210	529	271	348	0.000425445707895156	0.0194698731891541	-1.10271329654106
"ENSSSCG00000024132"	73	134	120	300	113	59	135	188	77	121	119	67	98	127	162	121	858	354	212	281	126	71	215	166	202	288	325	154	213	176	162	0.000468194062093752	0.0202665070737014	-1.10166406593236
"ENSSSCG00000024791"	80	1210	277	248	311	194	254	126	77	339	1622	381	348	98	196	395	392	157	288	121	97	247	171	136	176	251	249	260	116	252	168	4.70474392311182e-06	0.00239706702882547	1.26134842335737
"ENSSSCG00000024900"	22	239	155	66	80	105	174	26	68	163	275	67	108	47	92	287	104	52	53	69	54	123	40	30	39	109	120	41	33	67	17	8.22161115077158e-07	0.000785420790247147	1.25968728841854
"ENSSSCG00000025754"	4	35	29	6	28	8	21	1	11	19	26	20	31	5	10	17	37	9	2	2	4	31	8	4	4	6	9	18	6	24	8	1.78102036249017e-05	0.00453714937344371	1.16215104882113
"ENSSSCG00000026087"	11	30	27	37	21	5	24	17	12	27	28	25	23	44	11	33	129	85	28	63	25	11	19	14	27	37	64	11	150	29	36	0.00180327724609097	0.0340285095141982	-1.18545936631862
"ENSSSCG00000026873"	7	16	16	0	58	4	18	5	8	25	31	36	27	0	25	97	1	0	0	9	5	20	8	0	0	23	1	1	0	0	0	0.00354354929624878	0.046609930941951	2.49728591103856
"ENSSSCG00000027378"	20	136	212	81	107	28	136	32	85	159	224	199	136	35	71	420	116	48	64	23	31	34	38	18	78	64	58	43	48	106	51	6.65834567928902e-05	0.00834203391048629	1.35461058507254
"ENSSSCG00000027944"	11	2	3	23	7	4	3	4	0	3	12	3	4	16	13	10	48	5	4	6	7	3	6	4	15	14	25	2	16	9	5	0.00306689275635397	0.0438927488584929	-1.2929490279156
"ENSSSCG00000029096"	4	11	30	2	11	3	6	7	13	10	11	19	23	1	5	42	13	3	15	1	2	12	4	8	5	13	11	7	6	5	2	0.000525451195719562	0.0220646195784986	1.27079502186254
"ENSSSCG00000029329"	1	17	13	2	7	3	12	3	9	9	13	60	26	3	5	12	27	1	8	10	4	13	4	3	7	6	5	9	7	6	5	0.000906747396861474	0.0267305580977397	1.16349873228288
"ENSSSCG00000030268"	2	2	4	2	2	2	3	31	1	5	3	0	5	2	1	3	191	3	1	3	18	4	36	1	48	55	46	1	28	4	28	0.000597223734683849	0.0234065763708786	-3.2120754266613
"ENSSSCG00000030951"	12	17	7	31	7	6	10	6	5	7	9	7	3	37	4	13	27	6	6	8	5	5	8	6	6	10	39	4	13	32	20	0.00027324833617659	0.0161227100727544	-1.08065766334522
