"GeneID"	"X3409"	"X3609"	"X3610"	"X3703"	"X3811"	"X3910"	"X3912"	"X4007"	"X4110"	"X4111"	"X4208"	"X4210"	"X4213"	"X4303"	"X4406"	"X4410"	"X4506"	"X4611"	"X4907"	"X5209"	"X5210"	"X5307"	"X5404"	"X5405"	"X5407"	"X5409"	"X5604"	"X5815"	"X6106"	"X6206"	"X6207"	"line_pvalue"	"line_qvalue"	"log2fc"
"ENSSSCG00000016992"	4	52	30	5	14	7	18	4	23	55	26	38	28	10	26	29	34	16	19	6	3	8	3	6	6	8	25	12	12	11	9	4.29799396806096e-06	0.00202137947756892	1.26123216319981
"ENSSSCG00000017727"	3	90	225	6	106	5	173	4	100	190	177	67	71	5	91	157	317	4	198	8	2	5	4	3	4	6	183	50	3	5	3	0.00128523816581771	0.0279004447677748	1.67137725253863
"ENSSSCG00000020872"	369	736	481	2064	421	338	505	941	412	752	852	2049	2250	968	828	1167	6971	4297	574	3377	1929	1980	1813	1848	1514	1184	3753	987	1839	2878	1660	3.7583217202819e-06	0.00195701181006107	-1.28998961113843
"ENSSSCG00000020945"	59	98	14	119	73	2	82	105	1	72	70	65	41	196	6	0	177	178	37	164	132	44	164	143	139	181	383	95	92	244	115	0.000290066936630695	0.0144384293375214	-1.77326603147832
"ENSSSCG00000021051"	8	23	15	23	17	6	34	8	5	5	17	5	5	36	10	4	46	9	5	33	24	23	16	14	28	36	33	8	19	48	26	0.00150517266872596	0.0299175898875413	-1.00935262927209
"ENSSSCG00000021283"	6	12	19	14	11	3	48	6	5	15	28	5	5	14	20	26	460	205	9	216	81	5	81	106	8	8	162	11	69	49	12	0.00323971240707577	0.040371800765098	-2.581343618927
"ENSSSCG00000021572"	12	8	1	4	3	4	4	24	3	4	2	73	31	21	12	8	77	71	11	34	11	16	27	15	35	15	49	13	106	5	17	0.00344964967851902	0.0415668531510804	-1.28059234021993
"ENSSSCG00000022216"	14	13	5	22	1	2	8	10	1	6	12	3	11	3	6	8	36	33	5	7	13	10	7	8	19	9	28	3	7	27	4	0.00228191058530225	0.0342992333337183	-1.17762526012389
"ENSSSCG00000023108"	12	131	105	100	78	61	118	14	75	78	109	56	78	14	68	189	254	2	64	3	5	58	4	8	22	23	12	32	24	22	3	2.9369704571458e-05	0.0054898755468187	1.38249412601452
"ENSSSCG00000023256"	6	45	50	0	0	16	51	0	22	41	1	16	22	0	26	0	1	13	0	0	0	27	0	0	0	0	22	13	13	0	0	0.000312861920882201	0.0148101519690341	2.37381483655233
"ENSSSCG00000023537"	8	17	11	14	12	7	19	18	0	12	7	2	0	22	9	15	69	7	5	8	7	4	10	7	12	12	39	7	12	53	12	0.00146621065764907	0.0296004891035886	-1.10587163033491
"ENSSSCG00000023585"	50	209	57	125	97	49	96	114	34	70	77	342	313	207	211	272	584	436	163	351	231	164	306	454	713	233	411	195	484	235	272	0.000625883452454179	0.0205489817701322	-1.05026301774383
"ENSSSCG00000024132"	57	147	125	372	100	54	180	187	79	100	147	44	113	161	193	129	757	317	205	330	97	47	178	182	252	331	331	153	195	194	171	0.000333184416643428	0.0152526619097457	-1.07970177523444
"ENSSSCG00000024791"	78	1322	240	260	311	205	245	131	77	307	1655	373	342	81	223	384	308	148	291	126	97	200	188	153	141	225	262	229	105	271	138	6.79898916788879e-06	0.00242413105471426	1.32761432101997
"ENSSSCG00000024900"	13	178	110	50	48	70	189	16	61	116	221	65	69	34	67	287	96	30	44	47	46	96	43	37	34	83	109	25	26	42	14	8.1137742413695e-06	0.00253074004813086	1.26738380629684
"ENSSSCG00000025754"	3	41	10	11	20	7	11	1	9	10	34	21	32	5	16	21	33	4	5	6	6	25	4	4	4	8	9	21	7	16	7	2.39603059533078e-05	0.00512050038337145	1.14235292341133
"ENSSSCG00000026375"	6	5	6	22	10	2	3	11	8	8	4	19	11	18	27	28	66	36	10	24	12	3	41	6	26	12	15	9	45	15	14	0.002708331154055	0.0368437076170183	-1.10328780841202
"ENSSSCG00000026873"	34	62	48	1	157	24	46	19	23	134	65	75	68	0	50	191	2	3	0	28	29	102	18	1	1	56	0	0	0	0	0	0.00395333364300221	0.0443381573192094	2.44251823570095
"ENSSSCG00000027157"	2	2	3	0	19	1	2	2	32	59	2	6	4	1	34	129	20	0	2	1	1	0	7	0	1	2	2	41	3	8	6	0.00329788204753645	0.0405853599208245	2.37851162325373
"ENSSSCG00000027378"	14	149	233	105	121	37	144	24	82	147	244	197	126	51	65	437	119	39	58	32	26	37	28	28	78	66	61	39	45	111	55	6.62569812630576e-05	0.00810582322138369	1.33985264743304
"ENSSSCG00000027611"	25	12	13	140	40	18	45	93	3	13	96	132	108	135	127	129	613	180	69	182	99	118	40	63	131	116	346	223	163	200	146	0.00400766681554154	0.0446777856112968	-1.11805576152171
"ENSSSCG00000028095"	6	7	5	32	5	4	11	5	3	8	10	5	4	3	8	9	77	21	4	4	11	1	3	5	33	35	10	3	28	6	8	0.000801973909789755	0.0228048301013165	-1.47763923710997
"ENSSSCG00000028911"	13	15	11	28	16	3	18	39	21	39	14	14	20	25	16	31	296	118	27	53	15	13	35	37	41	41	47	52	80	68	31	0.000443967035173909	0.0175941704167613	-1.50364229403328
"ENSSSCG00000029096"	1	13	26	4	17	6	15	7	9	7	8	15	24	8	8	51	17	2	8	1	2	7	2	2	4	9	10	10	5	10	6	7.08614895572612e-06	0.00242413105471426	1.26605575780903
"ENSSSCG00000030268"	2	10	8	9	4	0	12	51	1	6	14	5	7	4	6	14	335	5	6	7	37	6	69	4	57	79	113	3	43	13	70	0.000210616994785973	0.0129025032940314	-2.87257623108318
"ENSSSCG00000030752"	14	9	6	17	7	2	11	18	5	11	11	7	15	18	8	20	71	21	9	13	12	28	8	21	19	28	49	4	29	27	9	2.21309601663444e-05	0.0050294745528639	-1.12190348657937
"ENSSSCG00000030797"	5	7	6	7	1	1	7	12	4	10	6	10	5	19	5	11	42	9	12	14	10	13	8	12	12	12	35	2	14	18	4	0.00251450538746623	0.0357903878628423	-1.02140247673222
